mth,lusa_band,current_to_30_roll_rate,30_to_60_roll_rate,60_to_90_roll_rate,90_to_120_roll_rate,120_to_150_roll_rate,150_to_180_roll_rate,Provision_rate_current,Provision_rate_0_to_30,Provision_rate_30_to_60,Provision_rate_60_to_90,Provision_rate_90_to_120,Provision_rate_120_to_150
6,550,0.101244995,0.403347737,0.736273802,0.855913435,0.94909029,0.964825033,0.023094286,0.228102993,0.565524416,0.768089825,0.897391949,0.945528532
6,600,0.092229399,0.395309598,0.725642225,0.903464124,0.919336379,0.974751919,0.020991082,0.227596426,0.575742221,0.793424364,0.878202402,0.955256881
6,650,0.083403466,0.415004897,0.692202154,0.844457379,0.948004721,0.930967272,0.017499232,0.209814207,0.505570437,0.730379751,0.864910141,0.912347926
6,700,0.074029191,0.370129468,0.687601332,0.881710741,0.935041745,0.957384129,0.014573464,0.196861053,0.531870791,0.773516231,0.877290244,0.938236446
6,750,0.060084212,0.359406272,0.638789488,0.871601771,0.93421724,0.970738568,0.010685581,0.177843401,0.494825535,0.774630053,0.888743092,0.951323797
6,800,0.049294254,0.347093977,0.663107829,0.910984639,0.945353374,0.938355684,0.008985171,0.182276227,0.525149496,0.791951886,0.869336158,0.919588571
6,850,0.039938948,0.303947777,0.701054869,0.858095933,0.93314836,0.949420155,0.006340429,0.158753038,0.522303665,0.745025373,0.868230864,0.930431752
6,900,0.033625408,0.288858601,0.646289135,0.901842144,0.957869309,0.866176019,0.004603082,0.136892979,0.473909998,0.733278609,0.813089756,0.848852499
6,950,0.020533014,0.215392304,0.569385525,0.850078212,0.87175318,0.962771301,0.001760723,0.085750812,0.398114558,0.69920035,0.822512964,0.943515875
7,0,0.2,0.6,0.757488736,0.986996154,0.988390697,1,0.086901567,0.434507837,0.724179729,0.95602706,0.968622883,0.98
7,50,0.2,0.576034767,0.811385263,0.950634292,0.974594185,0.98754479,0.083815816,0.419079079,0.727523934,0.896644254,0.943206301,0.967793894
7,100,0.178144968,0.472253183,0.687654092,0.936580146,0.963389288,0.980460107,0.05015581,0.281544916,0.596173675,0.866967393,0.925673469,0.960850905
7,150,0.160513652,0.484177521,0.712815602,0.961617511,0.889192273,0.982814499,0.045623591,0.284234959,0.587046996,0.823560813,0.856432837,0.963158209
7,200,0.138485624,0.446185833,0.725726424,0.904223242,0.967777003,0.988359395,0.038008903,0.274461004,0.615127114,0.847601926,0.937381264,0.968592207
7,250,0.146930416,0.460161934,0.749763057,0.930663199,0.969092658,0.959663143,0.042998091,0.292642544,0.635955567,0.848208726,0.911402457,0.94046988
7,300,0.152284415,0.404948583,0.739473085,0.837089046,0.947575468,0.972227094,0.034463309,0.226308839,0.558858209,0.755751927,0.902833372,0.952782552
